#,College Name,Course(s) Offered,District,Full Address,Contact,Website,State
1,Indian Institute of Technology Jodhpur,"B.Tech (Computer Science, Electrical, Mechanical, AI & Data Science, Chemical, Civil, Materials, Bioengineering)",Jodhpur,"NH 65, Surpura, Jodhpur, Rajasthan 342037",-2801335,https://www.iitj.ac.in/,Rajasthan
2,Malaviya National Institute of Technology Jaipur,"B.Tech (Chemical, Civil, Computer Science, Electrical, Electronics & Communication, Mechanical, Metallurgical & Materials), MBA (Management)",Jaipur,"JLN Marg, Jaipur, Rajasthan 302017",+91-141-2529087 | registrar@mnit.ac.in,https://mnit.ac.in/,Rajasthan
3,The LNM Institute of Information Technology,"B.Tech (Computer Science, Electronics & Communication, Communication & Computer, Mechanical)",Jaipur,"Rupa ki Nangal, Post-Sumel, Via-Jamdoli, Jaipur, Rajasthan 302031",+91-141-2688090 | info.lnmiit@lnmiit.ac.in,https://www.lnmiit.ac.in/,Rajasthan
4,Central University of Rajasthan,"B.Tech (Computer Science, Electronics & Communication)",Ajmer,"NH-8, Bandar Sindri, Kishangarh, Ajmer, Rajasthan 305817",+91-1463-238755 | info@curaj.ac.in,https://www.curaj.ac.in/,Rajasthan
5,NIIT University,"B.Tech (Computer Science, Electronics & Communication, Biotechnology, Cyber Security, Data Science), MBA (Marketing, Finance, HR)",Alwar,"NH 8, Delhi - Jaipur Highway, Neemrana, Rajasthan 301705",1800-103-5050 | admissions@niituniversity.in,https://niituniversity.in/,Rajasthan
6,"Swami Keshvanand Institute of Technology, Management & Gramothan","B.Tech (Civil, Computer Science, Electrical, Electronics & Communication, Mechanical, Information Technology, AI & DS), MBA (Management)",Jaipur,"Ramnagaria, Jagatpura, Jaipur, Rajasthan 302017",+91-141-5160400 | info@skit.ac.in,https://www.skit.ac.in/,Rajasthan
7,Amity University Jaipur,"B.Tech (Civil, Computer Science, Electrical & Electronics, Electronics & Communication, Mechanical, Biotechnology), MBA (Marketing, Finance, HR)",Jaipur,"Kant Kalwar, RIICO Industrial Area, NH-11C, Jaipur, Rajasthan 303007",+91-1426-405678 | admissions@jpr.amity.edu,https://www.amity.edu/jaipur/,Rajasthan
8,Poornima College of Engineering,"B.Tech (Computer Science, AI & DS, Civil, Electrical, Electronics & Communication, Mechanical, IT)",Jaipur,"ISI-6, RIICO Institutional Area, Sitapura, Jaipur, Rajasthan 302022",+91-141-2770790 | info@poornima.org,https://www.poornima.org/,Rajasthan
9,Arya College of Engineering and IT,"B.Tech (Computer Science, Electrical, Electronics & Communication, Mechanical, IT, AI & DS), MBA (Marketing, Finance)",Jaipur,"SP-40, Kukas Industrial Area (RIICO), Jaipur, Rajasthan 302028",+91-9829152284 | info@aryacollege.org,https://www.aryacollege.in/,Rajasthan
10,"NIIT University (duplicate skip, replace with Geetanjali Institute of Technical Studies)","B.Tech (Civil, Computer Science, Electrical, Electronics & Communication, Mechanical, Mining)",Udaipur,"Dabok Road, Udaipur, Rajasthan 313022",+91-294-2650078 | admissions@gits.ac.in,https://www.gits.ac.in/,Rajasthan
11,Jaipur Engineering College and Research Centre,"B.Tech (Civil, Computer Science, Electrical, Electronics & Communication, Mechanical, IT, AI & ML)",Jaipur,"Shri Ram Ki Nangal, Via Sitapura RIICO, Tonk Road, Jaipur, Rajasthan 302022",+91-141-2770232 | info@jecrcmail.com,https://www.jecrcfoundation.com/,Rajasthan
