#,College Name,Course(s) Offered,District,Full Address,Contact,Website,State
1,National Institute of Technology Manipur (NIT Manipur),"B.Tech (Civil Engineering, Computer Science & Engineering, Electrical & Electronics Engineering, Electronics & Communication Engineering, Mechanical Engineering)",Imphal West,"Langol, Imphal, Manipur 795004",+91-385-2058566 | registrar@nitmanipur.ac.in,https://nitmanipur.ac.in/,Manipur
2,Indian Institute of Information Technology Manipur (IIIT Manipur),"B.Tech (Computer Science & Engineering, Electronics & Communication Engineering)",Imphal West,"Mantripukhri, Imphal, Manipur 795002",+91-385-2445818 | iiitmanipur@yahoo.in,https://www.iiitmanipur.ac.in/,Manipur
3,Manipur Institute of Technology (MIT),"B.Tech (Civil Engineering, Computer Science & Engineering, Electronics & Communication Engineering, Electrical Engineering, Mechanical Engineering)",Imphal West,"Takyelpat, Imphal, Manipur 795001",+91-385-2445812 | mit_vc@manipuruniv.ac.in,https://mitimphal.manipuruniv.ac.in/,Manipur
4,Manipur Technical University (MTU),"B.Tech (Civil Engineering, Computer Science & Engineering, Electronics & Communication Engineering, Electrical Engineering, Mechanical Engineering), MBA (General Management)",Imphal West,"Takyelpat, Imphal West, Manipur 795004",+91-8787722292 | registrar@mtu.ac.in,https://mtu.ac.in/,Manipur
5,CIPET: Centre for Skilling and Technical Support Imphal,"B.Tech (Plastics Engineering, Manufacturing Engineering & Technology)",Imphal West,"C-12, Industrial Estate, Takyelpat, Imphal, Manipur 795001",+91-385-2414749 | cipetimphal@gmail.com,https://www.cipet.gov.in/centres/csts-imphal/index.php,Manipur
6,Manipur University,"MBA (Marketing, Finance, Human Resource Management, Operations)",Imphal West,"Indo-Myanmar Road, Canchipur, Imphal, Manipur 795003",+91-385-2435125 | info@manipuruniv.ac.in,https://www.manipuruniv.ac.in/,Manipur
7,Manipur Institute of Management Studies (MIMS),"MBA (Marketing, Finance, Human Resource Management, Operations)",Imphal West,"Indo-Myanmar Road, Canchipur, Imphal, Manipur 795003",+91-385-2435833 | mims@manipuruniv.ac.in,https://www.manipuruniv.ac.in/department/mims-management-studies,Manipur
8,Asian International University (AIU),"B.Tech (Civil Engineering, Computer Science & Engineering, Mechanical Engineering, Electrical Engineering), MBA (Marketing, Finance, HR)",Imphal West,"Ghari, Awang Leikai, Imphal West, Manipur 795140",+91-9899108107 | info@aiu.edu.in,https://aiu.edu.in/,Manipur
9,Bir Tikendrajit University,"B.Tech (Civil Engineering, Computer Science & Engineering, Mechanical Engineering, Electronics & Communication Engineering), MBA (Marketing, Finance, HR, Operations)",Imphal West,"Canchipur, Near Manipur University, Imphal, Manipur 795003",+91-7086504063 | info@birtikendrajituniversity.ac.in,https://www.birtikendrajituniversity.ac.in/,Manipur
10,Central Agricultural University (CAU),"B.Tech (Food Technology, Agricultural Engineering), MBA (Agri-Business Management)",Imphal West,"Lamphelpat, Imphal, Manipur 795004",+91-385-2410644 | registrar@cau.ac.in,https://www.cau.ac.in/,Manipur
11,Manipur International University,"MBA (Marketing, Finance, Human Resource Management)",Imphal East,"Palace Compound, Imphal East, Manipur 795001",+91-7005049842 | info@miu.ac.in,https://miu.ac.in/,Manipur
12,Sangai International University,"B.Tech (Civil Engineering, Computer Science & Engineering, Mechanical Engineering), MBA (Marketing, Finance, HR)",Churachandpur,"V.M. Building, Rengkai Road, Churachandpur, Manipur 795128",+91-8731944477 | info@sangaiinternationaluniversity.com,https://www.sangaiinternationaluniversity.com/,Manipur
13,Dhanamanjuri University,"MBA (Marketing, Finance, Human Resource Management)",Imphal West,"DM College Campus, Imphal, Manipur 795001",+91-385-2450049 | registrar@dmu.ac.in,https://dmu.ac.in/,Manipur
14,Khongnangthaba University,"MBA (Marketing, Finance, HR)",Imphal West,"Uripok Achom Leikai, Imphal West, Manipur 795001",Not Available (after search),https://khongnangthabauniversity.ac.in/,Manipur
