#,College Name,Course(s) Offered,District,Full Address,Contact,Website,State
1,COEP Technological University,"B.Tech (Civil, Mechanical, Electrical, Electronics & Telecommunication, Computer Engineering, Information Technology, Metallurgy, Production) + MBA (General Management, Finance, Marketing, HR)",Pune,"Wellesely Rd, Shivajinagar, Pune, Maharashtra 411005",-25506929,https://www.coeptech.ac.in/,Maharashtra
2,Visvesvaraya National Institute of Technology (VNIT) Nagpur,"B.Tech (Civil, Mechanical, Electrical, Electronics & Communication, Computer Science, Chemical, Metallurgical & Materials, Mining) + MBA (General)",Nagpur,"South Ambazari Road, Nagpur, Maharashtra 440010",0712-2801245,https://vnit.ac.in/,Maharashtra
3,Indian Institute of Technology Bombay,"B.Tech (Aerospace, Chemical, Civil, Computer Science, Electrical, Mechanical, Metallurgical, Engineering Physics) + MBA (via SJMSOM: Finance, Marketing, Operations, Strategy)",Mumbai Suburban,"Powai, Mumbai, Maharashtra 400076",022-25722545 | info@iitb.ac.in,https://www.iitb.ac.in/,Maharashtra
4,Veermata Jijabai Technological Institute (VJTI),"B.Tech (Civil, Computer, Electrical, Electronics & Telecommunication, Electronics, Information Technology, Mechanical, Production Sandwich, Textile Technology)",Mumbai City,"H.R. Mahajani Marg, Matunga, Mumbai, Maharashtra 400019",022-24198101 | director@vjti.ac.in,https://vjti.ac.in/,Maharashtra
5,S.P. Jain Institute of Management & Research (SPJIMR),"PGDM / MBA (Marketing, Finance, Operations, Information Management, HR, Business Analytics)",Mumbai,"Munshi Nagar, Dadabhai Road, Andheri West, Mumbai, Maharashtra 400058",022-61454200 | info@spjimr.org,https://www.spjimr.org/,Maharashtra
6,Institute of Chemical Technology (ICT) Mumbai,"B.Tech (Chemical Engineering, Food Technology, Pharmaceutical Chemistry & Technology, Polymer & Petrochemical Engineering, Surface Coating Technology, Fibres & Textile Processing)",Mumbai,"Nathalal Parekh Marg, Matunga, Mumbai, Maharashtra 400019",+91-22-33611111 | vc@ictmumbai.edu.in,https://www.ictmumbai.edu.in/,Maharashtra
7,MIT World Peace University,"B.Tech (Computer Science & Engineering, Mechanical, Civil, Electrical, Electronics & Telecommunication, Petroleum, Bioengineering, AI & DS) + MBA (Marketing, Finance, HR, Operations)",Pune,"Survey No. 124, Paud Road, Kothrud, Pune, Maharashtra 411038",+91-20-71177104 | registrar@mitwpu.edu.in,https://mitwpu.edu.in/,Maharashtra
8,Pune Institute of Computer Technology (PICT),"B.Tech (Computer Engineering, Information Technology, Electronics & Telecommunication, Artificial Intelligence & Data Science)",Pune,"Survey No. 27, Pune-Satara Road, Dhankawadi, Pune, Maharashtra 411043",+91-20-24371101 | registrar@pict.edu,https://www.pict.edu/,Maharashtra
9,Sardar Patel Institute of Technology (SPIT),"B.Tech (Computer Engineering, Electronics & Telecommunication, Information Technology, Artificial Intelligence & Data Science)",Mumbai,"Bhavan's Campus, Munshi Nagar, Dadabhai Road, Andheri West, Mumbai, Maharashtra 400058",022-69846900 | verification@spit.ac.in,https://www.spit.ac.in/,Maharashtra
10,Pimpri Chinchwad College of Engineering (PCCOE),"B.Tech (Computer, Information Technology, Electronics & Telecommunication, Mechanical, Civil, AI & DS, AI & ML)",Pune,"Sector 26, Pradhikaran, Nigdi, Pune, Maharashtra 411044",020-27600050 | pccoeadmin@gmail.com,https://www.pccoepune.com/,Maharashtra
11,Thakur College of Engineering and Technology (TCET),"B.Tech (Computer, Information Technology, Electronics & Telecommunication, Electronics, Mechanical, Civil, AI & DS)",Mumbai,"A-Block, Thakur Educational Campus, Shyamnarayan Thakur Marg, Thakur Village, Kandivali (E), Mumbai, Maharashtra 400101",022-67308000 | tcet@thakureducation.org,https://www.tcetmumbai.in/,Maharashtra
12,Government College of Engineering Aurangabad,"B.Tech (Civil, Mechanical, Electrical, Electronics & Telecommunication, Computer Science & Engineering, Information Technology)",Aurangabad,"Railway Station Road, Osmanpura, Chhatrapati Sambhajinagar, Maharashtra 431005",0240-2366101 | principalgeca@yahoo.com,https://geca.ac.in/,Maharashtra
13,Walchand College of Engineering,"B.Tech (Civil, Mechanical, Electrical, Electronics, Computer, Information Technology, Production)",Sangli,"Vishrambag, Sangli, Maharashtra 416415",+91-233-2300383 | registrar@walchandsangli.ac.in,https://walchandsangli.ac.in/,Maharashtra
14,Dr. D. Y. Patil Institute of Technology,"B.Tech (Computer, IT, Electronics & Telecommunication, Mechanical, Civil, AI & DS, AI & ML)",Pune,"Sant Tukaram Nagar, Pimpri, Pune, Maharashtra 411018",+91-20-27805298 | engg@dypvp.edu.in,https://engg.dypvp.edu.in/,Maharashtra
15,K. K. Wagh Institute of Engineering Education & Research,"B.Tech (Computer, Electronics & Telecommunication, Civil, Mechanical, Electrical, Chemical, AI & DS)",Nashik,"Amrutdham, Panchavati, Nashik, Maharashtra 422003",0253-2221310 | enggadmission@kkwagh.edu.in,https://www.kkwagh.edu.in/,Maharashtra
16,Bharati Vidyapeeth's College of Engineering,"B.Tech (Computer, Electronics & Telecommunication, Mechanical, Civil, Information Technology, Electrical)",Pune,"At Post Lavale, Pune, Maharashtra 412115",+91-20-24107390 | bvucoepune@bharatividyapeeth.edu,https://bvcoe.bharatividyapeeth.edu/,Maharashtra
17,K. J. Somaiya Institute of Management,"MBA / PGDM (Marketing, Finance, HR, Operations, Business Analytics, International Business)",Mumbai,"Vidyavihar (East), Mumbai, Maharashtra 400077",022-67283232 | admission.simsr@somaiya.edu,https://kjsim.somaiya.edu/en/,Maharashtra
18,Prin. L. N. Welingkar Institute of Management Development & Research,"PGDM (Marketing, Finance, HR, Operations, Business Analytics, Rural Management)",Mumbai,"Lakhamsi Napoo Road, Matunga, Mumbai, Maharashtra 400019",022-24198300 | admissions.hybrid@welingkarmail.org,https://www.welingkar.org/,Maharashtra
19,SIES College of Management Studies,"PGDM (Marketing, Finance, HR, Operations, Systems)",Thane,"Plot I-E, Sector V, Nerul, Navi Mumbai, Maharashtra 400706",022-61083425 | ssbsadmissions@sies.edu.in,https://www.siescoms.edu.in/,Maharashtra
